Fecha,Id de empleado,Nombre y Apellido,Inicio de turno,Fin de turno,Status
1/1/2025,EMP0119,Sean Snyder,1/1/2025 08:29,1/1/2025 16:35,Activo
1/1/2025,EMP0086,Mitchell Hamilton,1/1/2025 09:31,1/1/2025 17:49,Activo
1/1/2025,EMP0130,Lisa Potter,1/1/2025 09:08,1/1/2025 17:20,Activo
1/1/2025,EMP0144,Edward Smith,1/1/2025 07:32,1/1/2025 16:01,Activo
1/1/2025,EMP0249,Philip Bell,1/1/2025 10:24,1/1/2025 18:52,Activo
1/1/2025,EMP0168,Christine Green,,,Off
1/1/2025,EMP0240,Michele Scott PhD,1/1/2025 08:18,1/1/2025 16:42,Activo
1/1/2025,EMP0114,Seth Alvarado,1/1/2025 10:39,1/1/2025 19:07,Activo
1/1/2025,EMP0187,Brittany Barnes,,,Off
1/1/2025,EMP0089,Anthony Young,1/1/2025 09:43,1/1/2025 17:57,Activo
1/1/2025,EMP0142,Harry Robinson,1/1/2025 10:05,1/1/2025 18:27,Activo
1/1/2025,EMP0218,Christian Keller,1/1/2025 09:35,1/1/2025 17:55,Activo
1/1/2025,EMP0262,Timothy Harris,,,Baja
1/1/2025,EMP0234,Karen Erickson,1/1/2025 07:51,1/1/2025 16:18,Activo
1/1/2025,EMP0058,Kelsey Hall,,,Baja
1/1/2025,EMP0025,Travis Wyatt,,,Off
1/1/2025,EMP0082,Michelle Fritz,1/1/2025 07:01,1/1/2025 15:02,Activo
1/1/2025,EMP0126,Jennifer Smith,1/1/2025 10:45,1/1/2025 19:05,Activo
1/1/2025,EMP0185,Jenna Salazar,1/1/2025 06:01,1/1/2025 14:26,Activo
1/1/2025,EMP0264,Christine Hughes,1/1/2025 06:06,1/1/2025 14:29,Activo
1/1/2025,EMP0257,Lisa Russell,1/1/2025 08:11,1/1/2025 16:27,Activo
1/1/2025,EMP0266,Holly Adams,,,Baja
1/1/2025,EMP0101,Richard Scott,1/1/2025 09:42,1/1/2025 17:55,Activo
1/1/2025,EMP0113,April Barnes,1/1/2025 10:03,1/1/2025 18:15,Activo
1/1/2025,EMP0108,Thomas Brewer,1/1/2025 07:20,1/1/2025 15:22,Activo
1/1/2025,EMP0164,Justin Torres,1/1/2025 08:31,1/1/2025 16:41,Activo
1/1/2025,EMP0012,Austin Harris,1/1/2025 10:21,1/1/2025 18:24,Activo
1/1/2025,EMP0151,Andrew Burns,1/1/2025 08:55,1/1/2025 17:13,Activo
1/1/2025,EMP0138,Amy Sullivan,1/1/2025 06:36,1/1/2025 14:58,Activo
1/1/2025,EMP0079,Brenda Gonzalez,1/1/2025 09:28,1/1/2025 17:31,Activo
1/1/2025,EMP0270,Kevin Martinez,1/1/2025 06:42,1/1/2025 14:58,Activo
1/1/2025,EMP0208,David Eaton,,,Off
1/1/2025,EMP0131,Steven Brown,1/1/2025 06:00,1/1/2025 14:22,Activo
1/1/2025,EMP0147,Sonya Bean,1/1/2025 08:40,1/1/2025 17:10,Activo
1/1/2025,EMP0239,Danny Wilson,1/1/2025 08:32,1/1/2025 16:54,Activo
1/1/2025,EMP0283,Jasmine Wood,1/1/2025 09:57,1/1/2025 18:02,Activo
1/1/2025,EMP0047,Andrea Rodgers,1/1/2025 08:10,1/1/2025 16:31,Activo
1/1/2025,EMP0125,Carol Taylor,1/1/2025 07:30,1/1/2025 15:57,Activo
1/1/2025,EMP0074,Norman Adams,1/1/2025 08:56,1/1/2025 17:19,Activo
1/1/2025,EMP0014,Elizabeth Garcia,1/1/2025 10:25,1/1/2025 18:38,Activo
1/1/2025,EMP0192,Linda Robles,1/1/2025 08:45,1/1/2025 17:06,Activo
1/1/2025,EMP0019,Stephanie Jackson,1/1/2025 07:39,1/1/2025 15:48,Activo
1/1/2025,EMP0290,Melinda Wilcox,1/1/2025 10:12,1/1/2025 18:39,Activo
1/1/2025,EMP0072,Anna Hughes,1/1/2025 06:22,1/1/2025 14:25,Activo
1/1/2025,EMP0116,Andrew Moore,1/1/2025 09:07,1/1/2025 17:25,Activo
1/1/2025,EMP0022,Heidi Williams,1/1/2025 09:09,1/1/2025 17:32,Activo
1/1/2025,EMP0013,Amanda Jackson,1/1/2025 08:04,1/1/2025 16:09,Activo
1/1/2025,EMP0227,Tamara Green,1/1/2025 07:55,1/1/2025 16:24,Activo
1/1/2025,EMP0200,Derek Thomas,,,Off
1/1/2025,EMP0159,Wyatt Evans,1/1/2025 08:13,1/1/2025 16:37,Activo
1/1/2025,EMP0040,Brandy Boyer,1/1/2025 07:20,1/1/2025 15:27,Activo
1/1/2025,EMP0118,Justin Smith,1/1/2025 09:29,1/1/2025 17:40,Activo
1/1/2025,EMP0230,Jessica Lawrence,1/1/2025 09:43,1/1/2025 17:58,Activo
1/1/2025,EMP0041,Timothy Houston,1/1/2025 09:28,1/1/2025 17:34,Activo
1/1/2025,EMP0059,Deborah Jones,1/1/2025 08:57,1/1/2025 17:20,Activo
1/1/2025,EMP0225,Spencer Stevenson,1/1/2025 07:24,1/1/2025 15:49,Activo
1/1/2025,EMP0038,Beth Rivers,1/1/2025 08:34,1/1/2025 17:01,Activo
1/1/2025,EMP0242,Victoria Watts MD,1/1/2025 09:20,1/1/2025 17:21,Activo
1/1/2025,EMP0010,Sean Lawson,1/1/2025 07:42,1/1/2025 15:44,Activo
1/1/2025,EMP0222,Timothy Roberson,1/1/2025 06:19,1/1/2025 14:41,Activo
1/1/2025,EMP0099,Dustin Martin,1/1/2025 10:28,1/1/2025 18:47,Activo
1/1/2025,EMP0002,John Stewart,1/1/2025 06:16,1/1/2025 14:16,Activo
1/1/2025,EMP0090,Lee Rodriguez,1/1/2025 09:58,1/1/2025 18:13,Activo
1/1/2025,EMP0016,Matthew Ellis,1/1/2025 06:40,1/1/2025 15:08,Activo
1/1/2025,EMP0286,Thomas Peck,1/1/2025 07:55,1/1/2025 16:11,Activo
1/1/2025,EMP0219,Rick Estes,1/1/2025 06:50,1/1/2025 15:03,Activo
1/1/2025,EMP0051,Deborah Rice,1/1/2025 06:42,1/1/2025 15:00,Activo
1/1/2025,EMP0251,Chad Salinas,,,Baja
1/1/2025,EMP0148,Mr. Michael Lee,,,Baja
1/1/2025,EMP0061,Christopher Walker,1/1/2025 10:02,1/1/2025 18:17,Activo
1/1/2025,EMP0282,Cheryl Lewis,1/1/2025 08:25,1/1/2025 16:37,Activo
1/1/2025,EMP0163,Scott Rose,1/1/2025 09:38,1/1/2025 18:02,Activo
1/1/2025,EMP0152,David Santos,1/1/2025 09:53,1/1/2025 18:14,Activo
1/1/2025,EMP0261,Dale Green,1/1/2025 08:30,1/1/2025 16:34,Activo
1/1/2025,EMP0205,Karen Harris,1/1/2025 06:29,1/1/2025 14:32,Activo
1/1/2025,EMP0171,Walter Strickland,1/1/2025 07:18,1/1/2025 15:42,Activo
1/1/2025,EMP0054,Lauren Hill,1/1/2025 07:23,1/1/2025 15:35,Activo
1/1/2025,EMP0073,Charles Moreno,1/1/2025 09:32,1/1/2025 17:53,Activo
1/1/2025,EMP0124,Cesar Miles,1/1/2025 07:50,1/1/2025 16:13,Activo
1/1/2025,EMP0078,Jeremy Carroll,1/1/2025 06:13,1/1/2025 14:17,Activo
1/1/2025,EMP0006,Brenda Cole,1/1/2025 08:48,1/1/2025 16:54,Activo
1/1/2025,EMP0083,Kathryn Morgan,1/1/2025 09:59,1/1/2025 18:26,Activo
1/1/2025,EMP0229,Katherine Barnett,1/1/2025 10:23,1/1/2025 18:45,Activo
1/1/2025,EMP0299,Ashley Mcdonald,1/1/2025 07:56,1/1/2025 16:07,Activo
1/1/2025,EMP0069,Todd Sheppard,1/1/2025 08:34,1/1/2025 16:48,Activo
1/1/2025,EMP0115,Michelle Young,1/1/2025 09:31,1/1/2025 17:37,Activo
1/1/2025,EMP0063,Benjamin Vega,1/1/2025 08:46,1/1/2025 16:46,Activo
1/1/2025,EMP0105,Melissa Contreras,1/1/2025 09:35,1/1/2025 17:59,Activo
1/1/2025,EMP0146,Mr. Kevin Hamilton,1/1/2025 06:47,1/1/2025 14:48,Activo
1/1/2025,EMP0268,Kristen Bryan,1/1/2025 09:11,1/1/2025 17:27,Activo
1/1/2025,EMP0120,Daniel Wilkinson,1/1/2025 07:41,1/1/2025 16:00,Activo
1/1/2025,EMP0129,Charles Allen,,,Baja
1/1/2025,EMP0295,Justin Golden III,1/1/2025 08:51,1/1/2025 17:05,Activo
